categorize;recipe_name;tags;avg_score;difficulty;ingredient;rating_count;calorie;preparation_time;comment_user;recipe_url;date_recipe
Zubereitungsarten;Glühwein-Kirsch-Marmelade;['Aufstrich', 'Winter', 'Weihnachten', 'Frucht', 'gekocht', 'Haltbarmachen'];0;simpel;['1', 'Orange(n)', '500ml', 'Rotwein', '8', 'Gewürznelke(n)', '4', 'Sternanis', '2', 'Zimtstange(n)', '1Glas', 'Sauerkirschen(720ml)', '300g', 'Gelierzucker3:1'];0;NA;20 Min;NA;"https://www.chefkoch.de/rezepte/3431961511280215/Gluehwein-Kirsch-Marmelade.html
";['18.12.2017']
Zubereitungsarten;Schichtdessert Glühwein-Pflaumen und Spekulatius;['raffiniertoderpreiswert', 'Winter', 'Dessert', 'Weihnachten', 'Frucht', 'gekocht'];0;simpel;['500ml', 'GlühweinoderKinderpunsch', '3EL', 'Zucker', '1', 'Sternanis', '200g', 'ZwetschgenoderPflaumen', '200g', 'Spekulatius', '50g', 'Butter', '1Becher', 'Sahne,200g', '2EL', 'Puderzucker'];0;NA;30 Min;NA;"https://www.chefkoch.de/rezepte/3600411541349189/Schichtdessert-Gluehwein-Pflaumen-und-Spekulatius.html
";['26.11.2018']
Zubereitungsarten;Weißer Glühwein;['Getränk', 'Winter', 'Weihnachten', 'Punsch'];0;simpel;['500ml', 'Weißwein(Riesling)', '700ml', 'Apfelsaft,naturtrüb', '½Stange/n', 'Zimt', '1', 'Sternanis', '3', 'Nelke(n)', '1Schuss', 'Orangensaft', '½', 'Orange(n),unbehandelt', '½', 'Zitrone(n),unbehandelt'];0;NA;10 Min;NA;"https://www.chefkoch.de/rezepte/3611041542916125/Weisser-Gluehwein.html
";['21.12.2018']
Zubereitungsarten;Weißer Glühwein mit süßem Viez;['Getränk', 'Party', 'Winter', 'Weihnachten', 'Punsch'];0;simpel;['750ml', 'Weißwein(Weißburgunder)', '250ml', 'Apfelsaft(süßerViez)', '½', 'Zitrone(n)', '½', 'Vanilleschote(n)', '5', 'Nelke(n)', '1½EL', 'Zucker', 'Zimt'];0;NA;10 Min;NA;"https://www.chefkoch.de/rezepte/3772241574616242/Weisser-Gluehwein-mit-suessem-Viez.html
";['03.12.2019']
Zubereitungsarten;Glühwein Spritz;['Getränk', 'Longdrink', 'Party', 'Winter', 'Weihnachten'];0;simpel;['50ml', 'Glühwein,kalt', '1Schuss', 'Mineralwasser,classic', '1cl', 'Orangenlikör,nachGeschmackauchmehr', '100ml', 'Sekt,ProseccooderWeißwein', 'Orangenscheibe(n)oderOrangenzeste', 'Eiswürfel'];0;NA;5 Min;NA;"https://www.chefkoch.de/rezepte/3774431575097692/Gluehwein-Spritz.html
";['05.12.2019']
Zubereitungsarten;Glühwein - Rumkirschen - Schnitten;['Backen', 'Winter', 'Kuchen'];0;normal;['2Gläser', 'Schattenmorellen', '4EL', 'Rum(mindestens54%ig)', '200g', 'Schokolade(Blättchen,zartbitter)', '300g', 'Butter', '250g', 'Puderzucker', '6m.-große', 'Ei(er)', '1Beutel', 'Vanillezucker', '200ml', 'Wein(Glühwein)', '400g', 'Mehl', '2EL', 'Speisestärke', '1Beutel', 'Backpulver', '350g', 'PuderzuckerfürdenGuss', '6EL', 'Wein(Glühwein)fürdenGuss', '1EL', 'RumfürdenGuss', 'Schokodekor(BlättchenoderFiguren)', 'Kirsche(n)(kandiertoderfrisch)zurDekoration'];0;NA;20 Min;NA;"https://www.chefkoch.de/rezepte/776621180681816/Gluehwein-Rumkirschen-Schnitten.html
";['02.06.2007']
Zubereitungsarten;Glühwein von Schafgarben;['Getränk', 'Sommer', 'Europa', 'Deutschland', 'Punsch', 'Geheimrezept'];0;normal;['Schafgarbe,ein250mlGefäßvoll', '1.000ml', 'Wein,rot,trocken', '1', 'Gewürznelke(n)', '1', 'Lorbeerblatt', '½Stange/n', 'Zimt', '3', 'Orange(n),davonderSaft', '1', 'Orange(n),ungespritzt,davondieSchaleabgerieben'];0;NA;15 Min;NA;"https://www.chefkoch.de/rezepte/835561188311377/Gluehwein-von-Schafgarben.html
";['28.08.2007']
Zubereitungsarten;Herbstlicher Glühwein;['Getränk', 'Party', 'Winter', 'Herbst', 'Punsch'];0;simpel;['¾Liter', 'Rotwein,trocken', '100g', 'Zucker', '1Stange/n', 'Zimt', '2', 'Gewürznelke(n)', '¼', 'Vanilleschote(n)', '1', 'Sternanis', '4Scheibe/n', 'Zitrone(n)'];0;NA;10 Min;NA;"https://www.chefkoch.de/rezepte/893771194882947/Herbstlicher-Gluehwein.html
";['12.11.2007']
Zubereitungsarten;Glühweinapfeltaschen;['Backen', 'Winter', 'Kuchen', 'Herbst', 'Frucht'];0;simpel;['1Pck.', 'Blätterteig(Kühlregal)', '8EL', 'Apfelmus', '1kleiner', 'Apfel', '1TL', 'Zimt', '1TL', 'Zucker', '100ml', 'Glühwein'];0;NA;20 Min;NA;"https://www.chefkoch.de/rezepte/3360511499698313/Gluehweinapfeltaschen.html
";['17.07.2017']
Zubereitungsarten;Glühweinbärchen;['Vegetarisch', 'Winter', 'Weihnachten', 'Konfiserie'];0;simpel;['300ml', 'Rotwein', '1Beutel', 'Glühweingewürz', '4EL', 'Sirup,(Karamellsirup)', '4g', 'Agar-Agar', '3g', 'Zitronensäure', '1TL', 'Zucker', '3g', 'Pektin,(Apfelpektin)'];0;NA;25 Min;NA;"https://www.chefkoch.de/rezepte/2284931364334763/Gluehweinbaerchen.html
";['27.03.2013']
